Segment,gamecategory,subgamecategory,shift,oblast,city,os,osv,created_year,created_month,created_day,created_hour,created_minute,created_second
4,7,39,6,16,2276,0,0,2021,7,5,18,7,40
5,7,2,0,56,1777,0,112,2021,8,4,13,34,29
5,7,38,0,65,46,0,100,2021,9,18,9,44,24
4,7,2,0,39,1246,0,13,2021,8,2,8,52,24
5,7,10,0,56,1777,0,105,2021,9,18,2,36,11
3,7,0,0,39,1246,0,13,2021,8,8,11,50,4
5,7,38,0,39,1246,1,83,2021,9,17,21,14,46
5,7,38,0,30,956,0,100,2021,8,5,8,6,7
5,7,12,0,30,956,0,0,2021,9,18,8,37,31
2,7,52,0,63,1307,0,13,2021,9,18,6,59,27
5,7,0,0,56,1777,0,0,2021,8,2,14,28,37
3,0,37,0,30,956,0,0,2021,9,19,15,16,43
3,7,12,3,45,1409,0,0,2021,9,17,6,22,55
2,7,42,0,48,1083,0,0,2021,9,15,13,56,23
5,7,10,0,39,1246,0,13,2021,8,4,7,37,42
5,7,7,0,43,74,0,0,2021,9,17,16,53,16
3,7,38,0,56,1777,0,0,2021,7,10,9,14,41
5,7,40,3,2,145,0,0,2021,9,16,13,21,23
3,7,40,3,46,1482,0,13,2021,7,8,17,36,33
3,0,21,2,6,174,0,13,2021,8,3,7,6,22
3,7,42,0,56,1777,0,13,2021,7,5,4,24,3
3,7,38,0,81,2402,0,100,2021,8,5,7,27,38
3,7,12,1,55,1772,0,0,2021,9,19,15,46,59
3,7,12,2,50,1552,0,13,2021,9,15,17,55,38
5,7,52,4,31,975,0,98,2021,8,5,7,48,35
3,7,7,6,3,209,1,84,2021,7,11,14,29,10
4,7,45,3,45,1409,0,13,2021,7,5,1,37,57
3,7,52,0,38,1783,0,105,2021,9,16,10,49,7
2,7,40,-1,21,2264,0,0,2021,9,17,14,40,8
5,7,1,0,39,1246,0,13,2021,8,3,9,19,39
4,7,2,0,53,1742,0,13,2021,7,6,15,55,57
4,7,39,0,56,1777,0,105,2021,7,8,17,35,30
5,7,42,0,30,956,0,0,2021,9,17,17,57,11
3,7,38,0,65,732,0,102,2021,8,5,19,13,1
3,7,1,0,65,732,0,112,2021,8,7,22,12,53
5,0,37,0,56,1777,0,13,2021,9,17,2,32,10
3,7,38,0,62,1876,0,112,2021,7,9,15,20,44
2,7,52,0,78,31,0,0,2021,9,17,13,43,47
5,7,2,3,45,1409,0,13,2021,9,18,3,13,19
5,7,52,2,60,571,1,86,2021,9,17,18,39,54
5,7,40,3,46,1482,0,13,2021,9,15,11,43,56
5,7,0,5,19,1795,0,0,2021,8,2,14,46,8
3,7,38,0,39,1246,0,105,2021,9,16,10,50,28
5,7,40,0,39,1246,0,13,2021,9,18,15,34,39
3,7,10,2,76,2247,1,78,2021,7,8,16,15,25
4,7,0,2,60,571,0,13,2021,8,3,21,47,30
3,7,12,0,39,1246,0,0,2021,7,8,16,51,37
4,7,12,0,57,1785,0,112,2021,7,5,17,33,59
5,7,12,0,39,1246,0,112,2021,8,3,9,27,35
4,7,39,0,65,732,0,0,2021,8,5,10,56,34
5,7,38,0,11,364,1,69,2021,8,8,7,9,42
4,7,39,0,56,1777,0,0,2021,8,5,16,14,42
4,7,7,0,14,1187,0,0,2021,7,6,16,12,32
3,7,0,0,39,1246,0,0,2021,8,8,13,16,9
5,7,40,7,59,2370,1,84,2021,8,3,8,14,16
5,7,12,0,30,956,0,13,2021,8,2,15,55,12
2,12,33,0,78,2243,1,54,2021,9,19,7,10,46
5,7,2,0,43,1337,0,0,2021,9,20,19,59,34
5,7,38,3,45,1409,0,95,2021,9,18,4,2,5
3,7,52,2,47,271,0,102,2021,9,19,12,36,53
3,7,0,0,40,629,0,13,2021,9,17,17,44,43
4,7,38,2,60,571,0,98,2021,8,3,18,32,5
4,7,0,0,30,1391,0,13,2021,8,3,16,37,46
